common,scientific,family,suborder,infraorder,parvorder,genus,species,
Hairy-eared dwarf lemur,Allocebus trichotis,Cheirogaleidae,Strepsirrhini,,,Allocebus,trichotis,
Coquerel's mouse lemur,Mirza coquereli,Cheirogaleidae,Strepsirrhini,,,Mirza,coquereli,
Northern giant mouse lemur,Mirza zaza,Cheirogaleidae,Strepsirrhini,,,Mirza,zaza,
Arnhold's mouse lemur,Microcebus arnholdi,Cheirogaleidae,Strepsirrhini,,,Microcebus,arnholdi,
Madame Berthe's mouse lemur,Microcebus berthae,Cheirogaleidae,Strepsirrhini,,,Microcebus,berthae,
Bongolava mouse lemur,Microcebus bongolavensis,Cheirogaleidae,Strepsirrhini,,,Microcebus,bongolavensis,
Boraha mouse lemur,Microcebus boraha,Cheirogaleidae,Strepsirrhini,,,Microcebus,boraha,
Danfoss' mouse lemur,Microcebus danfossi,Cheirogaleidae,Strepsirrhini,,,Microcebus,danfossi,
Ganzhorn's mouse lemur,Microcebus ganzhorni,Cheirogaleidae,Strepsirrhini,,,Microcebus,ganzhorni,
Gerp's mouse lemur,Microcebus gerpi,Cheirogaleidae,Strepsirrhini,,,Microcebus,gerpi,
Reddish-gray mouse lemur,Microcebus griseorufus,Cheirogaleidae,Strepsirrhini,,,Microcebus,griseorufus,
Jolly's mouse lemur,Microcebus jollyae,Cheirogaleidae,Strepsirrhini,,,Microcebus,jollyae,
Jonah's mouse lemur,Microcebus jonahi,Cheirogaleidae,Strepsirrhini,,,Microcebus,jonahi,
Goodman's mouse lemur,Microcebus lehilahytsara,Cheirogaleidae,Strepsirrhini,,,Microcebus,lehilahytsara,
MacArthur's mouse lemur,Microcebus macarthurii,Cheirogaleidae,Strepsirrhini,,,Microcebus,macarthurii,
Claire's mouse lemur,Microcebus mamiratra,Cheirogaleidae,Strepsirrhini,,,Microcebus,mamiratra,
Bemanasy mouse lemur,Microcebus manitatra,Cheirogaleidae,Strepsirrhini,,,Microcebus,manitatra,
Margot Marsh's mouse lemur,Microcebus margotmarshae,Cheirogaleidae,Strepsirrhini,,,Microcebus,margotmarshae,
Marohita mouse lemur,Microcebus marohita,Cheirogaleidae,Strepsirrhini,,,Microcebus,marohita,
Mittermeier's mouse lemur,Microcebus mittermeieri,Cheirogaleidae,Strepsirrhini,,,Microcebus,mittermeieri,
Gray mouse lemur,Microcebus murinus,Cheirogaleidae,Strepsirrhini,,,Microcebus,murinus,
Pygmy mouse lemur,Microcebus myoxinus,Cheirogaleidae,Strepsirrhini,,,Microcebus,myoxinus,
Golden-brown mouse lemur,Microcebus ravelobensis,Cheirogaleidae,Strepsirrhini,,,Microcebus,ravelobensis,
Brown mouse lemur,Microcebus rufus,Cheirogaleidae,Strepsirrhini,,,Microcebus,rufus,
Sambirano mouse lemur,Microcebus sambiranensis,Cheirogaleidae,Strepsirrhini,,,Microcebus,sambiranensis,
Simmons' mouse lemur,Microcebus simmonsi,Cheirogaleidae,Strepsirrhini,,,Microcebus,simmonsi,
Anosy mouse lemur,Microcebus tanosi,Cheirogaleidae,Strepsirrhini,,,Microcebus,tanosi,
Northern rufous mouse lemur,Microcebus tavaratra,Cheirogaleidae,Strepsirrhini,,,Microcebus,tavaratra,
Montagne d'Ambre dwarf lemur,Cheirogaleus andysabini,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,andysabini,
Furry-eared dwarf lemur,Cheirogaleus crossleyi,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,crossleyi,
Groves' dwarf lemur,Cheirogaleus grovesi,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,grovesi,
Lavasoa dwarf lemur,Cheirogaleus lavasoensis,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,lavasoensis,
Greater dwarf lemur,Cheirogaleus major,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,major,
Fat-tailed dwarf lemur,Cheirogaleus medius,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,medius,
Lesser iron-gray dwarf lemur,Cheirogaleus minusculus,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,minusculus,
Ankarana dwarf lemur,Cheirogaleus shethi,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,shethi,
Sibree's dwarf lemur,Cheirogaleus sibreei,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,sibreei,
Thomas' dwarf lemur,Cheirogaleus thomasi,Cheirogaleidae,Strepsirrhini,,,Cheirogaleus,thomasi,
Amber Mountain fork-marked lemur,Phaner electromontis,Cheirogaleidae,Strepsirrhini,,,Phaner,electromontis,
Masoala fork-marked lemur,Phaner furcifer,Cheirogaleidae,Strepsirrhini,,,Phaner,furcifer,
Pale fork-marked lemur,Phaner pallescens,Cheirogaleidae,Strepsirrhini,,,Phaner,pallescens,
Pariente's fork-marked lemur,Phaner parienti,Cheirogaleidae,Strepsirrhini,,,Phaner,parienti,
Ring-tailed lemur,Lemur catta,Lemuridae,Strepsirrhini,,,Lemur,catta,
White-headed lemur,Eulemur albifrons,Lemuridae,Strepsirrhini,,,Eulemur,albifrons,
Gray-headed lemur,Eulemur cinereiceps,Lemuridae,Strepsirrhini,,,Eulemur,cinereiceps,
Collared brown lemur,Eulemur collaris,Lemuridae,Strepsirrhini,,,Eulemur,collaris,
Crowned lemur,Eulemur coronatus,Lemuridae,Strepsirrhini,,,Eulemur,coronatus,
Blue-eyed black lemur,Eulemur flavifrons,Lemuridae,Strepsirrhini,,,Eulemur,flavifrons,
Common brown lemur,Eulemur fulvus,Lemuridae,Strepsirrhini,,,Eulemur,fulvus,
Black lemur,Eulemur macaco,Lemuridae,Strepsirrhini,,,Eulemur,macaco,
Mongoose lemur,Eulemur mongoz,Lemuridae,Strepsirrhini,,,Eulemur,mongoz,
Red-bellied lemur,Eulemur rubriventer,Lemuridae,Strepsirrhini,,,Eulemur,rubriventer,
Red-fronted lemur,Eulemur rufifrons,Lemuridae,Strepsirrhini,,,Eulemur,rufifrons,
Red lemur,Eulemur rufus,Lemuridae,Strepsirrhini,,,Eulemur,rufus,
Sanford's brown lemur,Eulemur sanfordi,Lemuridae,Strepsirrhini,,,Eulemur,sanfordi,
Lac Alaotra bamboo lemur,Hapalemur alaotrensis,Lemuridae,Strepsirrhini,,,Hapalemur,alaotrensis,
Golden bamboo lemur,Hapalemur aureus,Lemuridae,Strepsirrhini,,,Hapalemur,aureus,
Eastern lesser bamboo lemur,Hapalemur griseus,Lemuridae,Strepsirrhini,,,Hapalemur,griseus,
Southern lesser bamboo lemur,Hapalemur meridionalis,Lemuridae,Strepsirrhini,,,Hapalemur,meridionalis,
Western lesser bamboo lemur,Hapalemur occidentalis,Lemuridae,Strepsirrhini,,,Hapalemur,occidentalis,
Greater bamboo lemur,Prolemur simus,Lemuridae,Strepsirrhini,,,Prolemur,simus,
Red ruffed lemur,Varecia rubra ,Lemuridae,Strepsirrhini,,,Varecia,rubra,
Black-and-white ruffed lemur,Varecia variegata ,Lemuridae,Strepsirrhini,,,Varecia,variegata,
AEECL's sportive lemur,Lepilemur aeeclis,Lepilemuridae,Strepsirrhini,,,Lepilemur,aeeclis,
Ahmanson's sportive lemur,Lepilemur ahmansoni,Lepilemuridae,Strepsirrhini,,,Lepilemur,ahmansoni,
Ankarana sportive lemur,Lepilemur ankaranensis,Lepilemuridae,Strepsirrhini,,,Lepilemur,ankaranensis,
Betsileo sportive lemur,Lepilemur betsileo,Lepilemuridae,Strepsirrhini,,,Lepilemur,betsileo,
Gray-backed sportive lemur,Lepilemur dorsalis,Lepilemuridae,Strepsirrhini,,,Lepilemur,dorsalis,
Milne-Edwards' sportive lemur,Lepilemur edwardsi,Lepilemuridae,Strepsirrhini,,,Lepilemur,edwardsi,
Fleurete's sportive lemur,Lepilemur fleuretae,Lepilemuridae,Strepsirrhini,,,Lepilemur,fleuretae,
Grewcock's sportive lemur,Lepilemur grewcockorum,Lepilemuridae,Strepsirrhini,,,Lepilemur,grewcockorum,
Holland's sportive lemur,Lepilemur hollandorum,Lepilemuridae,Strepsirrhini,,,Lepilemur,hollandorum,
Hubbard's sportive lemur,Lepilemur hubbardi,Lepilemuridae,Strepsirrhini,,,Lepilemur,hubbardi,
James' sportive lemur,Lepilemur jamesorum,Lepilemuridae,Strepsirrhini,,,Lepilemur,jamesorum,
White-footed sportive lemur,Lepilemur leucopus,Lepilemuridae,Strepsirrhini,,,Lepilemur,leucopus,
Small-toothed sportive lemur,Lepilemur microdon,Lepilemuridae,Strepsirrhini,,,Lepilemur,microdon,
Daraina sportive lemur,Lepilemur milanoii,Lepilemuridae,Strepsirrhini,,,Lepilemur,milanoii,
Mittermeier's sportive lemur,Lepilemur mittermeieri,Lepilemuridae,Strepsirrhini,,,Lepilemur,mittermeieri,
Weasel sportive lemur,Lepilemur mustelinus,Lepilemuridae,Strepsirrhini,,,Lepilemur,mustelinus,
Otto's sportive lemur,Lepilemur otto,Lepilemuridae,Strepsirrhini,,,Lepilemur,otto,
Petter's sportive lemur,Lepilemur petteri,Lepilemuridae,Strepsirrhini,,,Lepilemur,petteri,
Randrianasolo's sportive lemur,Lepilemur randrianasoli,Lepilemuridae,Strepsirrhini,,,Lepilemur,randrianasoli,
Red-tailed sportive lemur,Lepilemur ruficaudatus,Lepilemuridae,Strepsirrhini,,,Lepilemur,ruficaudatus,
Sahamalaza sportive lemur,Lepilemur sahamalazensis,Lepilemuridae,Strepsirrhini,,,Lepilemur,sahamalazensis,
Scott's sportive lemur,Lepilemur scottorum,Lepilemuridae,Strepsirrhini,,,Lepilemur,scottorum,
Seal's sportive lemur,Lepilemur seali,Lepilemuridae,Strepsirrhini,,,Lepilemur,seali,
Northern sportive lemur,Lepilemur septentrionalis,Lepilemuridae,Strepsirrhini,,,Lepilemur,septentrionalis,
Hawks' sportive lemur,Lepilemur tymerlachsoni,Lepilemuridae,Strepsirrhini,,,Lepilemur,tymerlachsoni,
Wright's sportive lemur,Lepilemur wrightae,Lepilemuridae,Strepsirrhini,,,Lepilemur,wrightae,
Indri,Indri indri,Indriidae,Strepsirrhini,,,Indri,indri,
Betsileo woolly lemur,Avahi betsileo,Indriidae,Strepsirrhini,,,Avahi,betsileo,
Bemaraha woolly lemur,Avahi cleesei,Indriidae,Strepsirrhini,,,Avahi,cleesei,
Eastern woolly lemur,Avahi laniger,Indriidae,Strepsirrhini,,,Avahi,laniger,
Southern woolly lemur,Avahi meridionalis,Indriidae,Strepsirrhini,,,Avahi,meridionalis,
Moore's woolly lemur,Avahi mooreorum,Indriidae,Strepsirrhini,,,Avahi,mooreorum,
Western woolly lemur,Avahi occidentalis,Indriidae,Strepsirrhini,,,Avahi,occidentalis,
Peyrieras's woolly lemur,Avahi peyrierasi,Indriidae,Strepsirrhini,,,Avahi,peyrierasi,
Ramanantsoavana's woolly lemur,Avahi ramanantsoavani,Indriidae,Strepsirrhini,,,Avahi,ramanantsoavani,
Sambirano woolly lemur,Avahi unicolor,Indriidae,Strepsirrhini,,,Avahi,unicolor,
Silky sifaka,Propithecus candidus,Indriidae,Strepsirrhini,,,Propithecus,candidus,
Coquerel's sifaka,Propithecus coquereli,Indriidae,Strepsirrhini,,,Propithecus,coquereli,
Crowned sifaka,Propithecus coronatus,Indriidae,Strepsirrhini,,,Propithecus,coronatus,
Von der Decken's sifaka,Propithecus deckenii,Indriidae,Strepsirrhini,,,Propithecus,deckenii,
Diademed sifaka,Propithecus diadema,Indriidae,Strepsirrhini,,,Propithecus,diadema,
Milne-Edwards's sifaka,Propithecus edwardsi,Indriidae,Strepsirrhini,,,Propithecus,edwardsi,
Perrier's sifaka,Propithecus perrieri,Indriidae,Strepsirrhini,,,Propithecus,perrieri,
Golden-crowned sifaka,Propithecus tattersalli,Indriidae,Strepsirrhini,,,Propithecus,tattersalli,
Verreaux's sifaka,Propithecus verreauxi,Indriidae,Strepsirrhini,,,Propithecus,verreauxi,
Aye-aye,Daubentonia madagascariensis,Daubentoniidae,Strepsirrhini,,,Daubentonia,madagascariensis,
Golden angwantibo,Arctocebus aureus,Lorisidae,Strepsirrhini,,,Arctocebus,aureus,
Calabar angwantibo,Arctocebus calabarensis,Lorisidae,Strepsirrhini,,,Arctocebus,calabarensis,
Central African potto,Perodicticus edwardsi,Lorisidae,Strepsirrhini,,,Perodicticus,edwardsi,
East African potto,Perodicticus ibeanus,Lorisidae,Strepsirrhini,,,Perodicticus,ibeanus,
West African potto,Perodicticus potto,Lorisidae,Strepsirrhini,,,Perodicticus,potto,
Gray slender loris,Loris lydekkerianus,Lorisidae,Strepsirrhini,,,Loris,lydekkerianus,
Red slender loris,Loris tardigradus,Lorisidae,Strepsirrhini,,,Loris,tardigradus,
Bangka slow loris,Nycticebus bancanus,Lorisidae,Strepsirrhini,,,Nycticebus,bancanus,
Bengal slow loris,Nycticebus bengalensis,Lorisidae,Strepsirrhini,,,Nycticebus,bengalensis,
Bornean slow loris,Nycticebus borneanus,Lorisidae,Strepsirrhini,,,Nycticebus,borneanus,
Sunda slow loris,Nycticebus coucang,Lorisidae,Strepsirrhini,,,Nycticebus,coucang,
Javan slow loris,Nycticebus javanicus,Lorisidae,Strepsirrhini,,,Nycticebus,javanicus,
Kayan River slow loris,Nycticebus kayan,Lorisidae,Strepsirrhini,,,Nycticebus,kayan,
Philippine slow loris,Nycticebus menagensis,Lorisidae,Strepsirrhini,,,Nycticebus,menagensis,
Sumatran slow loris,Nycticebus hilleri,Lorisidae,Strepsirrhini,,,Nycticebus,hilleri,
Pygmy slow loris,Xanthonycticebus pygmaeus,Lorisidae,Strepsirrhini,,,Xanthonycticebus,pygmaeus,
Somali bushbaby,Galago gallarum,Galagidae,Strepsirrhini,,,Galago,gallarum,
Dusky bushbaby,Galago matschiei,Galagidae,Strepsirrhini,,,Galago,matschiei,
Mohol bushbaby,Galago moholi,Galagidae,Strepsirrhini,,,Galago,moholi,
Senegal bushbaby,Galago senegalensis,Galagidae,Strepsirrhini,,,Galago,senegalensis,
Prince Demidoff's bushbaby,Galagoides demidovii,Galagidae,Strepsirrhini,,,Galagoides,demidovii,
Angolan dwarf galago,Galagoides kumbirensis,Galagidae,Strepsirrhini,,,Galagoides,kumbirensis,
Thomas's bushbaby,Galagoides thomasi,Galagidae,Strepsirrhini,,,Galagoides,thomasi,
Kenya coast galago,Paragalago cocos,Galagidae,Strepsirrhini,,,Paragalago,cocos,
Grant's bushbaby,Paragalago granti,Galagidae,Strepsirrhini,,,Paragalago,granti,
Malawi bushbaby,Paragalago nyasae,Galagidae,Strepsirrhini,,,Paragalago,nyasae,
Uluguru bushbaby,Paragalago orinus,Galagidae,Strepsirrhini,,,Paragalago,orinus,
Rondo dwarf galago,Paragalago rondoensis,Galagidae,Strepsirrhini,,,Paragalago,rondoensis,
Thomas's bushbaby,Paragalago thomasi,Galagidae,Strepsirrhini,,,Paragalago,thomasi,
Zanzibar bushbaby,Paragalago zanzibaricus,Galagidae,Strepsirrhini,,,Paragalago,zanzibaricus,
Rungwe dwarf galago,Paragalago sp. nov.,Galagidae,Strepsirrhini,,,Paragalago,sp.,nov.
Brown greater galago,Otolemur crassicaudatus,Galagidae,Strepsirrhini,,,Otolemur,crassicaudatus,
Northern greater galago,Otolemur garnettii,Galagidae,Strepsirrhini,,,Otolemur,garnettii,
Silvery greater galago,Otolemur monteiri,Galagidae,Strepsirrhini,,,Otolemur,monteiri,
Southern needle-clawed bushbaby,Euoticus elegantulus,Galagidae,Strepsirrhini,,,Euoticus,elegantulus,
Northern needle-clawed bushbaby,Euoticus pallidus,Galagidae,Strepsirrhini,,,Euoticus,pallidus,
Bioko Allen's bushbaby,Sciurocheirus alleni,Galagidae,Strepsirrhini,,,Sciurocheirus,alleni,
Cross River bushbaby,Sciurocheirus cameronensis,Galagidae,Strepsirrhini,,,Sciurocheirus,cameronensis,
Gabon bushbaby,Sciurocheirus gabonensis,Galagidae,Strepsirrhini,,,Sciurocheirus,gabonensis,
Makandé squirrel galago,Sciurocheirus makandensis,Galagidae,Strepsirrhini,,,Sciurocheirus,makandensis,
Philippine tarsier,Carlito syrichta,Tarsiidae,Haplorrhini,Tarsiiformes,,Carlito,syrichta,
Horsfield's tarsier,Cephalopachus bancanus,Tarsiidae,Haplorrhini,Tarsiiformes,,Cephalopachus,bancanus,
Dian's tarsier,Tarsius dentatus,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,dentatus,
Makassar tarsier,Tarsius fuscus,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,fuscus,
Lariang tarsier,Tarsius lariang,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,lariang,
Peleng tarsier,Tarsius pelengensis,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,pelengensis,
Pygmy tarsier,Tarsius pumilus,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,pumilus,
Sangihe tarsier,Tarsius sangirensis,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,sangirensis,
Spectral tarsier,Tarsius tarsier,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,tarsier,
Siau Island tarsier,Tarsius tumpara,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,tumpara,
Wallace's tarsier,Tarsius wallacei,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,wallacei,
"Gursky's spectral tarsier,",Tarsius spectrumgurskyae,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,spectrumgurskyae,
"Jatna's tarsier,",Tarsius supriatnai,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,supriatnai,
Niemitz's tarsier,Tarsius niemitzi,Tarsiidae,Haplorrhini,Tarsiiformes,,Tarsius,niemitzi,
Buffy-tufted marmoset,Callithrix aurita,Callitrichidae,Haplorrhini,Simiiformes,,Callithrix,aurita,
Buffy-headed marmoset,Callithrix flaviceps,Callitrichidae,Haplorrhini,Simiiformes,,Callithrix,flaviceps,
White-headed marmoset,Callithrix geoffroyi,Callitrichidae,Haplorrhini,Simiiformes,,Callithrix,geoffroyi,
Common marmoset,Callithrix jacchus,Callitrichidae,Haplorrhini,Simiiformes,,Callithrix,jacchus,
Wied's marmoset,Callithrix kuhlii,Callitrichidae,Haplorrhini,Simiiformes,,Callithrix,kuhlii,
Black-tufted marmoset,Callithrix penicillata,Callitrichidae,Haplorrhini,Simiiformes,,Callithrix,penicillata,
Rio Acari marmoset,Mico acariensis,Callitrichidae,Haplorrhini,Simiiformes,,Mico,acariensis,
Silvery marmoset,Mico argentatus,Callitrichidae,Haplorrhini,Simiiformes,,Mico,argentatus,
